,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
2655,0.616,0.556,6,-12.169,1,0.0522,0.000119,0.92,0.0768,0.551,137.988,audio_features,0ButD4tR7dKJlWONqUExUN,spotify:track:0ButD4tR7dKJlWONqUExUN,https://api.spotify.com/v1/tracks/0ButD4tR7dKJlWONqUExUN,https://api.spotify.com/v1/audio-analysis/0ButD4tR7dKJlWONqUExUN,417813,4,trance
2656,0.672,0.621,10,-14.34,0,0.0479,0.627,0.944,0.0846,0.342,129.882,audio_features,6yP0QgMBGUBofbGiXsAiTb,spotify:track:6yP0QgMBGUBofbGiXsAiTb,https://api.spotify.com/v1/tracks/6yP0QgMBGUBofbGiXsAiTb,https://api.spotify.com/v1/audio-analysis/6yP0QgMBGUBofbGiXsAiTb,454392,4,trance
2657,0.772,0.726,1,-9.403,0,0.0493,4.33e-05,0.907,0.344,0.0524,140.016,audio_features,3wES1ChuyAdIRMcjAUtIf2,spotify:track:3wES1ChuyAdIRMcjAUtIf2,https://api.spotify.com/v1/tracks/3wES1ChuyAdIRMcjAUtIf2,https://api.spotify.com/v1/audio-analysis/3wES1ChuyAdIRMcjAUtIf2,470893,4,trance
2658,0.361,0.925,9,-8.406,0,0.261,0.000411,0.681,0.917,0.0337,136.011,audio_features,2ZezvLe68WZJq7OHUedt5L,spotify:track:2ZezvLe68WZJq7OHUedt5L,https://api.spotify.com/v1/tracks/2ZezvLe68WZJq7OHUedt5L,https://api.spotify.com/v1/audio-analysis/2ZezvLe68WZJq7OHUedt5L,328235,4,trance
2659,0.837,0.629,7,-6.624,1,0.0681,0.008,0.848,0.0847,0.539,144.023,audio_features,6xr1liXYxaZTNsCxdNFItY,spotify:track:6xr1liXYxaZTNsCxdNFItY,https://api.spotify.com/v1/tracks/6xr1liXYxaZTNsCxdNFItY,https://api.spotify.com/v1/audio-analysis/6xr1liXYxaZTNsCxdNFItY,360000,4,trance
2660,0.752,0.929,7,-5.574,1,0.0703,0.197,0.757,0.0363,0.406,125.9,audio_features,3j8MepYimsCw55JuRz7ZuD,spotify:track:3j8MepYimsCw55JuRz7ZuD,https://api.spotify.com/v1/tracks/3j8MepYimsCw55JuRz7ZuD,https://api.spotify.com/v1/audio-analysis/3j8MepYimsCw55JuRz7ZuD,377960,4,trance
2661,0.645,0.914,0,-8.808,0,0.0503,0.00132,0.847,0.0909,0.303,139.011,audio_features,3VgemT9Y3w2DEdml3yCFWf,spotify:track:3VgemT9Y3w2DEdml3yCFWf,https://api.spotify.com/v1/tracks/3VgemT9Y3w2DEdml3yCFWf,https://api.spotify.com/v1/audio-analysis/3VgemT9Y3w2DEdml3yCFWf,540960,4,trance
2662,0.734,0.847,0,-12.669,0,0.0723,7.29e-05,0.822,0.059,0.479,137.041,audio_features,7Cl5uxH1staTKge0K5hygY,spotify:track:7Cl5uxH1staTKge0K5hygY,https://api.spotify.com/v1/tracks/7Cl5uxH1staTKge0K5hygY,https://api.spotify.com/v1/audio-analysis/7Cl5uxH1staTKge0K5hygY,437893,4,trance
2663,0.777,0.69,7,-10.864,1,0.0368,0.000826,0.839,0.097,0.251,132.984,audio_features,1s5X2ymtI6cM5xM67fc7ia,spotify:track:1s5X2ymtI6cM5xM67fc7ia,https://api.spotify.com/v1/tracks/1s5X2ymtI6cM5xM67fc7ia,https://api.spotify.com/v1/audio-analysis/1s5X2ymtI6cM5xM67fc7ia,514133,4,trance
2664,0.596,0.847,11,-6.235,1,0.0326,0.00961,0.75,0.227,0.386,128.056,audio_features,06AcB40yBcZLQ9DvLI6O7T,spotify:track:06AcB40yBcZLQ9DvLI6O7T,https://api.spotify.com/v1/tracks/06AcB40yBcZLQ9DvLI6O7T,https://api.spotify.com/v1/audio-analysis/06AcB40yBcZLQ9DvLI6O7T,197344,4,trance
